mesa,A540,A500,A520,P13,A590,A560,A570,blancos,nulos
7354,80,121,2,0,0,0,0,15,0
7256,108,56,39,3,2,20,3,8,29
6602,126,75,17,2,3,0,5,10,12
7637,131,60,37,1,1,6,1,3,13
6601,109,103,14,2,2,3,0,4,10
7255,0,0,0,0,0,0,0,0,0
6366,7,1,0,0,0,0,0,0,0
7254,104,85,31,3,3,18,1,14,20
7551,131,56,4,3,3,11,3,5,10
7249,79,62,30,2,3,13,6,26,3
6606,129,65,16,1,2,7,2,9,10
7248,59,74,23,1,8,5,4,40,3
4817,122,27,16,0,0,1,2,4,3
6201,131,90,28,0,0,8,0,18,5
6607,120,73,19,3,4,0,1,18,9
6226,125,99,26,0,0,3,1,21,11
6239,105,89,22,1,3,3,4,12,6
6225,110,127,27,2,1,2,0,11,10
6237,130,61,17,1,0,1,1,8,6
6238,138,69,26,4,6,6,4,8,7
6235,125,77,28,1,2,1,0,12,7
6224,126,100,36,0,2,7,1,20,5
6264,116,98,37,1,2,9,1,20,2
6236,118,75,22,3,2,1,3,12,9
6240,127,62,25,2,4,6,2,8,10
6234,114,81,27,2,2,4,4,14,9
4818,89,31,3,0,0,0,0,96,1
6261,127,72,27,1,0,3,1,24,7
6263,80,138,36,0,2,3,1,12,7
6262,112,103,37,2,2,3,0,17,3
6256,82,134,39,0,0,5,1,15,6
6260,98,121,41,0,1,1,0,18,4
6255,124,104,35,1,5,3,0,20,3
6258,104,119,40,1,1,1,1,12,3
6259,106,114,25,0,1,2,1,11,15
6257,116,99,52,2,0,2,1,20,6
6254,106,87,49,1,0,2,1,19,5
6223,125,89,20,2,0,3,0,29,10
6222,114,99,22,1,3,5,1,42,4
6221,86,141,37,1,1,7,0,23,0
6252,100,109,52,1,1,4,0,20,7
6253,96,118,50,2,0,7,0,12,7
6216,132,95,29,0,1,4,0,25,8
6218,104,115,27,2,0,5,1,27,4
6220,118,120,21,1,1,7,1,10,3
6217,107,115,34,0,2,7,1,21,7
6605,97,96,19,1,4,5,3,4,12
6219,117,105,12,2,3,2,1,26,8
6603,130,79,21,1,7,2,0,6,12
6604,121,72,20,2,6,2,1,7,9
6200,95,111,35,2,0,7,4,18,3
6215,123,94,37,2,0,8,0,19,8
6196,126,114,15,1,1,0,0,25,5
6198,91,118,42,0,2,3,3,18,6
6194,128,108,32,2,0,3,0,14,3
6193,124,109,28,2,1,9,1,15,5
6197,111,110,26,0,0,10,0,7,6
6195,130,95,19,1,4,6,3,22,8
6199,110,118,26,0,1,3,0,18,9
6192,132,100,29,0,0,6,0,17,0
7548,109,54,48,4,3,3,4,11,17
6191,124,103,23,1,0,8,3,17,7
7544,118,55,43,3,1,12,3,8,11
7550,107,67,47,1,4,10,1,3,6
7546,114,55,51,0,7,9,3,5,13
7547,116,70,43,4,3,6,3,1,3
7545,117,57,34,3,10,16,2,12,14
7543,114,56,36,1,7,12,3,4,13
7549,110,71,61,2,2,7,4,2,5
7542,121,67,41,3,1,13,0,6,11
7540,119,68,53,0,5,9,2,5,6
7541,115,52,50,3,4,8,6,8,3
7539,103,63,52,0,4,9,4,6,9
7536,132,53,44,2,5,9,0,10,0
7538,125,58,41,0,6,2,4,8,10
7537,125,47,42,2,5,4,1,12,12
7635,127,57,54,1,3,1,0,8,4
7632,149,40,49,0,3,6,1,3,6
7535,108,84,30,3,1,10,1,8,6
7636,131,55,49,1,2,5,2,10,5
7634,137,88,25,1,2,2,1,4,6
7631,115,57,40,2,2,12,3,10,17
6249,78,127,43,0,4,7,3,15,4
7633,113,49,57,2,5,4,6,6,5
6251,122,103,49,0,0,3,1,14,7
6250,105,99,57,1,0,4,1,16,3
6245,119,91,45,3,2,8,2,3,1
6243,132,92,55,0,1,1,0,10,2
6248,102,109,48,1,5,1,1,17,6
6246,107,115,37,0,3,3,0,14,3
6242,124,72,38,0,2,4,0,21,3
6247,89,116,48,1,1,4,3,19,11
6244,138,79,46,0,2,3,0,23,8
6600,137,67,14,1,2,1,2,7,9
7630,122,59,52,2,3,5,3,9,7
6599,109,74,26,3,8,8,2,8,8
7627,128,76,45,2,5,4,0,6,4
7629,118,81,52,0,1,3,5,3,3
7628,127,65,49,1,1,4,2,9,8
7247,66,67,34,1,5,14,3,32,2
6598,70,40,49,1,0,16,2,19,4
7625,136,71,46,0,0,4,1,9,5
6597,95,34,45,2,1,12,2,18,1
7626,142,48,48,0,3,4,2,6,6
7253,102,52,46,5,2,19,0,9,19
7624,139,45,60,2,2,2,0,7,6
7252,112,76,32,7,2,9,3,6,21
6596,98,30,35,2,1,10,0,15,3
7353,95,91,5,0,0,1,0,27,0
7251,116,70,42,9,1,15,4,10,8
6595,105,42,33,0,0,10,2,17,3
7250,119,59,33,3,1,20,5,13,19
6212,106,124,23,3,0,5,1,12,8
